Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
53	Ibrutinib and Blinatumomab in Treating Patients With Relapsed or Refractory B Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Adult B Acute Lymphoblastic Leukemia|Philadelphia Chromosome Positive	Biological: Blinatumomab|Drug: Ibrutinib	University of California Davis Comprehensive Cancer Center, Sacramento, California, United States	https://ClinicalTrials.gov/show/NCT02997761
54	Anti-CD19 CAR in PiggyBac Transposon-Engineered T Cells for Relapsed/Refractory B-cell Lymphoma or B-cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	B Cell Lymphoma|B-cell Acute Lymphoblastic Leukemia	Biological: Anti-CD19 CAR-T Cells Injection	Kunming Yan'an Hospital, Kunming, Yunnan, China	https://ClinicalTrials.gov/show/NCT04289220
55	CD19 CAR-T Cell Therapy for Relapsed/Refractory B-cell Lymphoma and B-cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	B Cell Lymphoma|B-cell Acute Lymphoblastic Leukemia	Biological: Anti-CD19 CAR-T Cells Injection	Kunming Yan'an Hospital, Oncology Department, Kunming, Yunnan, China	https://ClinicalTrials.gov/show/NCT03854994
56	Low-Intensity Chemotherapy and Venetoclax in Treating Patients With Relapsed or Refractory B- or T-Cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Recurrent B Acute Lymphoblastic Leukemia|Recurrent T Acute Lymphoblastic Leukemia|Refractory B Acute Lymphoblastic Leukemia|Refractory T Acute Lymphoblastic Leukemia	Drug: Cyclophosphamide|Drug: Cytarabine|Drug: Dexamethasone|Drug: Methotrexate|Drug: Nelarabine|Drug: Pegaspargase|Drug: Prednisone|Biological: Rituximab|Drug: Venetoclax|Drug: Vincristine	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03808610
57	CAR-T Cell Therapy Targeting to CD19 for R/R ALL	Recruiting	No Results Available	Acute Lymphoblastic Leukemia With Failed Remission	Biological: CAR T-cell therapy	The Fisrt Affiliated Hospital of Soochow University, Suzhou, Jiangsu, China	https://ClinicalTrials.gov/show/NCT03919240
58	Blinatumomab Followed by High-dose Chemotherapy for Ph-negative Acute Lymphoblastic Leukemia (ALL)	Recruiting	No Results Available	Lymphoblastic Leukemia, Acute, Adult|Ph Negative ALL|Newly Diagnosed	Drug: Blinatumomab	Institute of Hematology and Blood Transfusion, Czech Republic, Prague, Czechia	https://ClinicalTrials.gov/show/NCT04554485
59	Assesment of JL1 Expression in Acute Leukemia	Not yet recruiting	No Results Available	Acute Lymphoblastic Leukemia	Biological: JL1 antigen		https://ClinicalTrials.gov/show/NCT04554381
60	CD79b CAR-T Cell Therapy for Patients With Relapsed and/or Refractory Acute Lymphoblastic Leukemia and B-cell Non-Hodgkin's Lymphoma	Not yet recruiting	No Results Available	Relapsed and/or Refractory Acute Lymphoblastic Leukemia|Relapsed and/or Refractory B-cell Non-Hodgkin's Lymphoma	Drug: CD79b CAR-T Cells	The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04609241
61	Transposon-manipulated Allogeneic CARCIK-CD19 Cells in Pediatric and Adult Patients With r/r ALL Post HSCT	Recruiting	No Results Available	Acute Lymphoblastic Leukemia, in Relapse	Biological: CARCIK-CD19	Ospedale PG23, Bergamo, BG, Italy|Fondazione MBBM, Monza, MB, Italy	https://ClinicalTrials.gov/show/NCT03389035
62	Venetoclax, Dasatinib, Prednisone, and Rituximab for the Treatment of Newly Diagnosed or Relapsed Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia	Not yet recruiting	No Results Available	B Acute Lymphoblastic Leukemia|Recurrent B Acute Lymphoblastic Leukemia	Drug: Dasatinib|Drug: Methotrexate|Drug: Prednisone|Biological: Rituximab|Drug: Venetoclax	OHSU Knight Cancer Institute, Portland, Oregon, United States	https://ClinicalTrials.gov/show/NCT04872790
63	Inotuzumab Ozogamicin and Chemotherapy in Treating Patients With Recurrent or Refractory B-cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Recurrent B Acute Lymphoblastic Leukemia|Recurrent B Lymphoblastic Lymphoma|Refractory B Acute Lymphoblastic Leukemia|Refractory B Lymphoblastic Lymphoma	Drug: Etoposide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone|Drug: Cyclophosphamide|Biological: Inotuzumab Ozogamicin	Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT03991884
64	Chemotherapy and Imatinib in Young Adults With Acute Lymphoblastic Leukemia Ph (BCR-ABL) POSITIVE	Recruiting	No Results Available	Acute Lymphoblastic Leukemia Ph Positive	Drug: Imatinib	Hospital Central de Asturias, Oviedo, Asturias, Spain|H. Son Llatzer, Palma de Mallorca, Baleares, Spain|Hospital Germans Trias i Pujol and all Hospital Pethema, Badalona, Barcelona, Spain|Hospital de Mataró, Mataró, Barcelona, Spain|Hospital Universitario de Canarias, Tenerife, Canarias, Spain|Hospital general de Castellón, Castello, Castellón, Spain|Complejo Hospitalario Universitario de Santiago, Santiago de Compostela, La Coruña, Spain|Clínica Universitaria de Navarra, Pamplona, Navarra, Spain|Hospital de Navarra, Pamplona, Navarra, Spain|Hospital General de Albacete, Albacete, Spain|Hospital de Alcorcón, Alcorcón, Spain|Hospital General de Alicante., Alicante, Spain|Hospital de Cabueñes, Asturias, Spain|Hospital de Badalona Germans Trias i Pujol, Badalona, Spain|Hospital Clinic y Provincial de Barcelona, Barcelona, Spain|Hospital Clínico y Provincial de Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau., Barcelona, Spain|Hospital de la Santa Creu i Sant Pau., Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital de la santa Creu i Sant Pau, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital Duran i Reynals - ICO L'Hospitalet, Barcelona, Spain|Basurtuko Ospitalea, Basurto, Spain|Complejo Hospitalario de Cáceres, Cáceres, Spain|Complejo Hospitalario Reina Sofía, Córdoba, Spain|Area Hospitalaria Juan Ramón Jimenez, Huelva, Spain|Hospital Juan Ramón Jiménez, Huelva, Spain|Hospital del SAS de Jerez de la Frontera, Jerez de la Frontera, Spain|Hospital general de Jerez de la Frontera, Jerez de la Frontera, Spain|Hospital Arnau de Vilanova, Lleida, Spain|Complexo Hospitalario Xeral-Calde, Lugo, Spain|Clínica La Concepción, Madrid, Spain|Clínica Puerta de Hierro, Madrid, Spain|Hospital 12 de Octubre. Madrid, Madrid, Spain|Hospital Clinico San Carlos, Madrid, Spain|Hospital Clínico San Carlos de Madrid, Madrid, Spain|Hospital Clínico San Carlos de Madrid, Madrid, Spain|Hospital de Fuenlabrada, Madrid, Spain|Hospital de la Princesa, Madrid, Spain|Hospital de Madrid, S.A.- Norte Hospital General, Madrid, Spain|Hospital Gregorio Marañón, Madrid, Spain|Hospital Ramón y Cajal, Madrid, Spain|Hospital Universitario de la Princesa, Madrid, Spain|Hospital Universitario Princcipe de Asturias, Madrid, Spain|Althaia, Xarxa Asistencial de Manresa, Manresa, Spain|Hospital General Univeristario Morales Messeguer, Murcia, Spain|Hospital Sta. Maria del Rosell, Murcia, Spain|. Hospital Clínico Universitario Virgen de la Victoria, Málaga, Spain|. Hospital Clínico Universitario Virgen de la Victoria, Málaga, Spain|Hospital Carlos Haya, Málaga, Spain|Hospital Carlos Haya, Málaga, Spain|Hospital Carlos Haya, Málaga, Spain|Hospital de Mérida, Mérida, Spain|Hospital del Río Carrión, Palencia, Spain|Hospital de Gran Canaria Doctor Negrín, Palma De Gran Canaria, Spain|Clínica Universitaria de Navarra, Pamplona, Spain|Hospital de Montecelo, Pontevedra, Spain|Corporació Sanitaria Parc Taulí, Sabadell, Spain|Hospital Clínico de Salamanca, Salamanca, Spain|Hospital Clínico Universitario de Salamanca, Salamanca, Spain|Hospital Clínico Universitario, Salamanca, Spain|Hospital de Donostia, San Sebastián, Spain|Hoaspital Marqués de Valdecilla, Santander, Spain|Hospital General de Segovia, Segovia, Spain|Complejo Hospitalario Regional Virgen del Rocío, Sevilla, Spain|Hospital Joan XIII de, Tarragona, Spain|Hospital Joan XXIII, Tarragona, Spain|Hospital Clínico de Valencia., Valencia, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital Clínico Universitario, Valencia, Spain|Hospital Clínic, Valencia, Spain|Hospital Dr Pesset, Valencia, Spain|Hospital La Fe, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital Clínico de Valladolid, Valladolid, Spain|Complejo Hospitalario Xeral-Cies, Vigo, Spain|Hospital do Meixoeiro, Vigo, Spain|Hospital Txagorritxu, Vitoria, Spain|Hospital Clínico Lozano Blesa, Zaragoza, Spain	https://ClinicalTrials.gov/show/NCT01491763
65	International Trial of Selumetinib in Combination With Dexamethasone for the Treatment of Acute Lymphoblastic Leukaemia	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Acute Lymphoblastic Leukemia, Adult|Acute Lymphoblastic Leukemia, Pediatric|Acute Lymphoblastic Leukemia, in Relapse|Acute Lymphoblastic Leukemia Recurrent	Drug: Selumetinib|Drug: Dexamethasone	Prinses Maxima Centrum Voor Kinderoncologie, Utrecht, Netherlands|Queen Elizabeth Hospital, Birmingham, United Kingdom|Birmingham Children's Hospital, Birmingham, United Kingdom|Bristol Haematology & Oncology Centre, Bristol, United Kingdom|The Noah's Ark Children's Hospital for Wales, University Hospital of Wales, Cardiff, United Kingdom|University Hospital of Wales Adult Unit, Cardiff, United Kingdom|Beatson West of Scotland Cancer Centre, Glasgow, United Kingdom|Alder Hey Children's Hospital, Liverpool, United Kingdom|Department of Paediatric Oncology, Royal Marsden Hospital, Sutton, London Borough of Sutton, United Kingdom|Haemato-Oncology Adult Unit, Royal Marsden Hospital, Sutton, London Borough of Sutton, United Kingdom|University College Hospital Adult Unit, London, United Kingdom|University College Hospital Paediatric/Teenage & Young Adult Unit, London, United Kingdom|King's College Hospital, London, United Kingdom|Hammersmith Hospital, London, United Kingdom|Great Ormond Street Hospital, London, United Kingdom|The Christie Hospital, Manchester, United Kingdom|Great North Children's Hospital, Royal Victoria Infirmary, Newcastle, United Kingdom|Freeman Hospital, Newcastle, United Kingdom|Royal Hallamshire Hospital, Sheffield, United Kingdom	https://ClinicalTrials.gov/show/NCT03705507
66	Pembrolizumab and Blinatumomab in Treating Participants With Recurrent or Refractory Acute Lymphoblastic Leukemia	Recruiting	No Results Available	CD19 Positive|Philadelphia Chromosome Positive|Recurrent Acute Lymphoblastic Leukemia|Refractory Acute Lymphoblastic Leukemia	Biological: Blinatumomab|Other: Laboratory Biomarker Analysis|Biological: Pembrolizumab	City of Hope Medical Center, Duarte, California, United States	https://ClinicalTrials.gov/show/NCT03512405
67	Intravenous Autologous CD19 CAR-T Cells for R/R B-ALL	Recruiting	No Results Available	Relapsed B Acute Lymphoblastic Leukaemia|Refractory B Acute Lymphoblastic Leukaemia	Biological: CD19 CAR-T CELLS|Drug: Cyclophosphamide|Drug: Fludarabine	UKM Medical Centre, Bandar Tun Razak, Kuala Lumpur, Malaysia	https://ClinicalTrials.gov/show/NCT03937544
68	A Study of GC019F CAR-T Cell Immunotherapy for Relapsed or Refractory B- ALL	Not yet recruiting	No Results Available	B-cell Acute Lymphoblastic Leukemia	Biological: GC019F		https://ClinicalTrials.gov/show/NCT04595162
69	Neurostimulation In Adult Survivors of Childhood Acute Lymphoblastic Leukemia (ALL)	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Device: Active tDCS|Device: Sham tDCS	St. Jude Children's Research Hospital, Memphis, Tennessee, United States	https://ClinicalTrials.gov/show/NCT04007601
70	Adult B-ALL Treated by CART Cell Bridging Allogeneic Hematopoietic Stem Cell Transplantation	Recruiting	No Results Available	Adult B Acute Lymphoblastic Leukemia	Drug: CD19 CAR-T|Drug: CD22 CAR-T|Drug: CD19+CD22 CAR-T|Drug: Fludarabine|Drug: Cyclophosphamide	No.2 Hospital of Hebei Medical University, Shijiazhuang, Hebei, China	https://ClinicalTrials.gov/show/NCT04626726
71	Blincyto Amgen Acrotech BioPharma PH2 Blincyto Marqibo R/R Philadelphi CD19+ ALL	Not yet recruiting	No Results Available	B-cell Acute Lymphoblastic Leukemia	Drug: Blinatumomab	Moffitt Cancer Center, Tampa, Florida, United States|Novant Health Cancer Institute and Innovation Center, Winston-Salem, North Carolina, United States	https://ClinicalTrials.gov/show/NCT04448834
72	Phase I Study of Inotuzumab With Augmented BFM Re-Induction for Younger Adults With Relapsed/Refractory B-cell ALL	Recruiting	No Results Available	B-cell Acute Lymphoblastic Leukemia	Drug: Inotuzumab ozogamicin|Drug: Prednisone Pill|Drug: Daunorubicin|Drug: Vincristine|Drug: Cytarabine|Drug: Methotrexate|Drug: Pegaspargase	University of Virginia, Charlottesville, Virginia, United States	https://ClinicalTrials.gov/show/NCT03962465
73	Blinatumomab and Nivolumab With or Without Ipilimumab in Treating Patients With Poor-Risk Relapsed or Refractory CD19+ Precursor B-Lymphoblastic Leukemia	Recruiting	No Results Available	Recurrent B Acute Lymphoblastic Leukemia|Recurrent Mixed Phenotype Acute Leukemia|Refractory B Acute Lymphoblastic Leukemia|Refractory Mixed Phenotype Acute Leukemia	Biological: Blinatumomab|Biological: Ipilimumab|Biological: Nivolumab	Yale University, New Haven, Connecticut, United States|University of Kentucky/Markey Cancer Center, Lexington, Kentucky, United States|Johns Hopkins University/Sidney Kimmel Cancer Center, Baltimore, Maryland, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States|University of Pittsburgh Cancer Institute (UPCI), Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT02879695
74	Dual Target CAR-T Cells in B-cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Dual-target CAR-T Cells|B ALL|Relapse|Refractory B Acute Lymphoblastic Leukemia	Biological: Dual target CAR-T cell therapy	Shenzhen University General hospital, Shenzhen, Guangdong, China	https://ClinicalTrials.gov/show/NCT04723901
75	Sequential CD19 and CD22 CAR-T Therapy for Newly Diagnosed Ph+ B-ALL	Recruiting	No Results Available	B-Cell Acute Lymphoblastic Leukemia, Adult	Drug: CAR-T cells targeting CD19 and CD22	The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04788472
76	Sequential CD19 and CD22 CAR-T Therapy for Newly Diagnosed Ph- B-ALL	Recruiting	No Results Available	B-Cell Acute Lymphoblastic Leukemia, Adult	Drug: CAR-T cells targeting CD19 and CD22	The First Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04740203
77	Blinatumomab in Treating Patients With B-cell Acute Lymphoblastic Leukemia With Minimal Residual Disease	Recruiting	No Results Available	Adult Acute Lymphoblastic Leukemia in Complete Remission|B Acute Lymphoblastic Leukemia|Minimal Residual Disease|Philadelphia Chromosome Positive	Biological: Blinatumomab|Other: Laboratory Biomarker Analysis	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT02458014
78	Venetoclax and Vincristine Liposomal in Treating Patients With Relapsed or Refractory T-cell or B-cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	B Acute Lymphoblastic Leukemia|Lymphoblasts 5 Percent or More of Bone Marrow Nucleated Cells|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Childhood Acute Lymphoblastic Leukemia|Refractory Acute Lymphoblastic Leukemia|T Acute Lymphoblastic Leukemia	Other: Laboratory Biomarker Analysis|Drug: Venetoclax|Drug: Vincristine Liposomal	Yale University, New Haven, Connecticut, United States|Northwestern University, Chicago, Illinois, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States|Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Penn State Milton S Hershey Medical Center, Hershey, Pennsylvania, United States|University of Pennsylvania/Abramson Cancer Center, Philadelphia, Pennsylvania, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States	https://ClinicalTrials.gov/show/NCT03504644
79	ADCT-602 in Treating Patients With Recurrent or Refractory B-cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Blasts 5 Percent or More of Bone Marrow Nucleated Cells|CD22 Positive|Philadelphia Chromosome Positive|Recurrent B Acute Lymphoblastic Leukemia|Refractory B Acute Lymphoblastic Leukemia	Biological: ADCT-602	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03698552
80	A Study of CAR-T Cells Therapy for Patients With Relapsed and/or Refractory Central Nervous System Hematological Malignancies	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Non-Hodgkin's Lymphoma	Drug: CAR-T cells|Procedure: Ommaya Reservoir	The First Affiliated Hospital，College of Medicine, Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04532203
81	Study of Efficacy and Safety of Flumatinib Combined With Chemotherapy in Ph Positive ALL	Recruiting	No Results Available	Acute Lymphocytic Leukemia, Adult B-Cell|BCR-ABL1 Fusion Protein Expression	Drug: Flumatinib	Department of Hematology, Zhongda Hospital Southeast University, Institute of Hematology Southeast University, Nanjing, Jiangsu, China|Department of Hematology, Zhongda Hospital Southeast University, Institute of Hematology Southeast University, Nanjing, Jiangsu, China	https://ClinicalTrials.gov/show/NCT04375683
82	Combination Chemotherapy in Treating Patients With Relapsed or Refractory Acute Lymphoblastic Leukemia, Lymphoblastic Lymphoma, Burkitt Lymphoma/Leukemia, or Double-Hit Lymphoma/Leukemia	Recruiting	No Results Available	Burkitt Leukemia|High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Recurrent Acute Lymphoblastic Leukemia|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Burkitt Leukemia|Recurrent Burkitt Lymphoma|Recurrent Childhood Lymphoblastic Lymphoma|Recurrent High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Refractory Acute Lymphoblastic Leukemia|Refractory Burkitt Leukemia|Refractory Burkitt Lymphoma|Refractory High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements|Refractory Lymphoblastic Lymphoma	Drug: Bortezomib|Drug: Clofarabine|Drug: Cyclophosphamide|Drug: Dexamethasone|Drug: Etoposide|Biological: Ofatumumab|Biological: Pegfilgrastim|Biological: Rituximab|Drug: Vincristine Sulfate Liposome	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03136146
83	A Study of Humanized CD19 CAR-T Cells Therapy for Patients With Relapsed and/or Refractory B-cell ALL and B-cell NHL	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Non-hodgkin Lymphoma,B Cell	Drug: Humanized CD19 CAR-T cells	The First Affiliated Hospital，College of Medicine, Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04532268
84	Human CD19 Targeted T Cells Injection Therapy for Relapsed and Refractory CD19-positive Leukemia	Recruiting	No Results Available	CD19-positive|Acute Lymphoblastic Leukemia	Drug: Human CD19 targeted T Cells Injection	Shanghai General Hospital, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT03798509
85	Anti-CD19/CD22 Bispecific CAR-T Cell Therapy for MRD Positive ALL	Recruiting	No Results Available	MRD-positive|Acute Lymphoblastic Leukemia	Biological: anti-CD19/CD22 CAR-T cells|Drug: Fludarabine|Drug: Cyclophosphamide	Shanghai General Hospital, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT03919526
86	A Study of Murine CD19 CAR-T Therapy for Patients With Relapsed or Refractory CD19+ B-cell Hematological Malignancies	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Non-Hodgkin Lymphoma of Soft Tissue	Drug: Murine CD19 CAR-T cells	The First Affiliated Hospital，College of Medicine, Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04532281
87	RD13-01 for Patients With r/r CD7+ T-ALL/T-LBL	Recruiting	No Results Available	T Acute Lymphoblastic Leukemia|T-lymphoblastic Lymphoma	Drug: RD13-01 cell infusion	Hebei Yanda Ludaopei Hospital, Langfang, Hebei, China	https://ClinicalTrials.gov/show/NCT04620655
88	ATG Based Conditioning Regimen in HLA Related HSCT for Aggressive T-cell Tumors	Recruiting	No Results Available	Lymphoblastic Lymphoma	Drug: Anti-human Thymoglobulin|Drug: Placebo	Shanghai First People's HOSPITAL, Shanghai, Shanghai, China|Shanghai First People's HOSPITAL, Shanghai, China	https://ClinicalTrials.gov/show/NCT02938741
89	Treatment of Breakpoint Cluster Region-Abelson (BCR-ABL) Negative ALL in Adults	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Drug: Pediatric-type of chemotherapy|Procedure: allogeneic HSCT	Ico-Hugtip, Badalona, Barcelona, Spain|H Albacete, Albacete, Spain|H. General Univ. de Alicante, Alicante, Spain|H. General Univ. de Alicante, Alicante, Spain|Clínica Teknon, Barcelona, Spain|H del Mar, Barcelona, Spain|H. Clínic de Barcelona, Barcelona, Spain|H. del Mar, Barcelona, Spain|H. Sant Pau, Barcelona, Spain|H. Vall d'Hebron, Barcelona, Spain|H. Vall d'Hebron, Barcelona, Spain|ICO-Duran i Reynals, Bellvitge, Spain|H Basurto, Bilbao, Spain|Hu Basurto, Bilbao, Spain|H. Jerez, Cadiz, Spain|H. Puerta del Mar, Cadiz, Spain|H. General de Castellón, Castelló, Spain|H. San Pedro de Alcántara, Cáceres, Spain|H. Reina Sofía, Córdoba, Spain|H. Fuenlabrada, Fuenlabrada, Spain|H Galdakao, Galdakao, Spain|H. Univ. De Getafe, Getafe, Spain|ICO-Dr.Josep Trueta, Girona, Spain|H. Guadalajara, Guadalajara, Spain|H Juan Ramón Jiménez, Huelva, Spain|Complejo Hospitalario Ciudad de Jaén, Jaén, Spain|H. Jerez de la Frontera, Jerez De La Frontera, Spain|H. A Coruña, La Coruña, Spain|H. General Lanzarote, Lanzarote, Spain|H Dr. Negrín, Las Palmas De Gran Canaria, Spain|Hospital Insular de Gran Canaria, Las Palmas De Gran Canaria, Spain|Hu Gran Canarias Dr Negrin, Las Palmas De Gran Canaria, Spain|H. Arnau De Vilanova, Lleida, Spain|H. Lucus Augusti, Lugo, Spain|H. Lucus Augusti, Lugo, Spain|H. Lucus Augusti, Lugo, Spain|Fundación Jiménez Díaz, Madrid, Spain|H La Zarzuela, Madrid, Spain|H Puerta de Hierro, Madrid, Spain|H Puerta de Hierro, Madrid, Spain|H. 12 de Octubre, Madrid, Spain|H. 12 de Octubre, Madrid, Spain|H. 12 de Octubre, Madrid, Spain|H. 12 de Octubre, Madrid, Spain|H. 12 de Octubre, Madrid, Spain|H. Clínico de Madrid, Madrid, Spain|H. Clínico de Madrid, Madrid, Spain|H. Gregorio Marañón, Madrid, Spain|H. Gregorio Marañón, Madrid, Spain|H. Infanta Sofía, Madrid, Spain|H. Madrid-Norte Sanchinarro, Madrid, Spain|H. Ramón y Cajal, Madrid, Spain|H. Ramón y Cajal, Madrid, Spain|H. Univ La Paz, Madrid, Spain|Hu Infanta Leonor, Madrid, Spain|Hu La Princesa, Madrid, Spain|H. Morales Meseguer, Murcia, Spain|H. Virgen de la Arrixaca, Murcia, Spain|H. Virgen de la Arrixaca, Murcia, Spain|H. Virgen de la Arrixaca, Murcia, Spain|H. Carlos Haya, Málaga, Spain|H. Clínico Univ. Virgen de la Victoria, Málaga, Spain|H. Regional de Málaga, Málaga, Spain|Complejo Hosp. Univ. de Orense, Orense, Spain|Complejo Hosp. Univ. de Orense, Orense, Spain|Complejo Hosp. Univ. de Orense, Orense, Spain|Complejo Hosp. Univ. de Orense, Orense, Spain|H. Central de Asturias, Oviedo, Spain|H Río Carrión, Palencia, Spain|H. Son Espases, Palma De Mallorca, Spain|H. Son Llàtzer, Palma De Mallorca, Spain|Complejo Hospitalario Navarra, Pamplona, Spain|H. Clínico Univ. de Navarra, Pamplona, Spain|H. Virgen del Camino, Pamplona, Spain|Complejo Hospitalario Pontevedra - Hospital Montecelo, Pontevedra, Spain|H. Parc Taulí, Sabadell, Spain|H. Clínico Univ. de Salamanca, Salamanca, Spain|H. Clínico Univ. de Salamanca, Salamanca, Spain|H Donostia, San Sebastián, Spain|H Donostia, San Sebastián, Spain|H Donostia, San Sebastián, Spain|H Donostia, San Sebastián, Spain|H. Univ. de Canarias, Santa Cruz De Tenerife, Spain|H. Marqués de Valdecilla, Santander, Spain|H. Marqués de Valdecilla, Santander, Spain|Complejo Hosp. Univ. Santiago de Compostela, Santiago De Compostela, Spain|Complejo Hosp. Univ. Santiago de Compostela, Santiago De Compostela, Spain|H. General de Segovia, Segovia, Spain|H. Universitario de Valme, Sevilla, Spain|H. Virgen del Rocío, Sevilla, Spain|ICO-Joan XXIII, Tarragona, Spain|Mútua de Terrassa, Terrassa, Spain|H Torrejón, Torrejón De Ardoz, Spain|H. Verge de la Cinta, Tortosa, Spain|H. Arnau de Vilanova, Valencia, Spain|H. Clínico Univ. de Valencia, Valencia, Spain|H. Dr. Peset, Valencia, Spain|H. Dr. Peset, Valencia, Spain|H. General Univ. de Valencia, Valencia, Spain|H. la Fe, Valencia, Spain|H. Clínico Universitario de Valladolid, Valladolid, Spain|H. Río Hortega, Valladolid, Spain|H. Xeral-Cíes Vigo, Vigo, Spain|H. Xeral-Cíes Vigo, Vigo, Spain|H. Virgen de la Concha, Zamora, Spain|H. Lozano Blesa, Zaragoza, Spain|H. Miguel Servet, Zaragoza, Spain|Hospital Nuestra Señora de Sonsoles, Ávila, Spain	https://ClinicalTrials.gov/show/NCT04179929
90	Inotuzumab Ozogamicin and Vincristine Sulfate Liposome in Treating Patients With Relapsed or Refractory CD22+ B-cell Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Allogeneic Hematopoietic Stem Cell Transplantation Recipient|Blasts 5 Percent or More of Bone Marrow Nucleated Cells|Blasts 5 Percent or More of Peripheral Blood White Cells|CD22 Positive|Lymphoblasts 20 Percent or More of Bone Marrow Nucleated Cells|Lymphoblasts 20 Percent or More of Peripheral Blood White Cells|Recurrent B Acute Lymphoblastic Leukemia|Refractory B Acute Lymphoblastic Leukemia	Biological: Inotuzumab Ozogamicin|Other: Quality-of-Life Assessment|Drug: Vincristine Sulfate Liposome	Roswell Park Cancer Institute, Buffalo, New York, United States	https://ClinicalTrials.gov/show/NCT03851081
91	CD19 hsCAR-T for Refractory/Relapsed CD19+ B-ALL Patients	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Biological: CD19 hsCAR-T	Beijing Children's Hospital Capital Meidcal University, Beijing, Beijing, China|Beijing Children's Hospital, Capital Medical University, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT03902197
92	ABL001 + Dasatinib + Prednisone in BCR-ABL+ B-ALL or CML	Recruiting	No Results Available	B-cell Acute Lymphoblastic Leukemia|Chronic Myeloid Leukemia (CML) in Lymphoid Blast Crisis|Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia Ph+ ALL	Drug: ABL001|Drug: Dasatinib|Drug: Prednisone	University of Chicago Comprehensive Cancer Center, Chicago, Illinois, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Roswell Park Comprehensive Cancer Center, Buffalo, New York, United States	https://ClinicalTrials.gov/show/NCT03595917
