Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
80	Venetoclax and Romidepsin in Treating Patients With Recurrent or Refractory Mature T-Cell Lymphoma	Recruiting	No Results Available	Anaplastic Large Cell Lymphoma|Recurrent Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Refractory Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma	Other: Laboratory Biomarker Analysis|Drug: Romidepsin|Drug: Venetoclax	City of Hope Medical Center, Duarte, California, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States	https://ClinicalTrials.gov/show/NCT03534180
81	A Trial Assessing the Effect of Pembrolizumab Combined With Radiotherapy in Patients With Relapsed, Refractory, Specified Stages of Cutaneous T-cell Lymphoma (CTCL) Mycosis Fungoides (MF)/Sezary Syndrome (SS)	Recruiting	No Results Available	Cutaneous T Cell Lymphoma|Mycosis Fungoides/Sezary Syndrome	Drug: Pembrolizumab|Radiation: Radiotherapy	Guys & St Thomas's NHS Foundation Trust, London, United Kingdom|The Christie NHS Foundation Trust, Manchester, United Kingdom	https://ClinicalTrials.gov/show/NCT03385226
82	Combination of Basiliximab and Pegaspargase in the Treatment of ENKTCL	Not yet recruiting	No Results Available	Extranodal NK/T-cell Lymphoma	Drug: Basiliximab|Drug: Pegaspargase		https://ClinicalTrials.gov/show/NCT04337593
83	Anti-PD-1 Antibody Combined With Peg-Asparaginase and Chidamide for the Early Stage of NK/T Cell Lymphoma	Recruiting	No Results Available	Immune Checkpoint Inhibitor|Chemotherapy Effect|Epigenetic Disorder|NK/T-cell Lymphoma of Nasal Cavity	Drug: Anti-PD-1 antibody+Peg-Asparaginase+Chidamide	Hunan Cancer Hospital, Changsha, Hunan, China	https://ClinicalTrials.gov/show/NCT04414969
84	Sintilimab in Combination With Chidamide in Refractory and Relapsed AITL	Not yet recruiting	No Results Available	Angioimmunoblastic T-cell Lymphoma	Drug: Sintilimab|Drug: Chidamide	Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT04831710
85	Assessing An Oral Janus Kinase Inhibitor, AZD4205 as Monotherapy in Patients Who Have PTCL (JACKPOT8)	Recruiting	No Results Available	Relapsed or Refractory Peripheral T Cell Lymphoma	Drug: AZD4205	Yale Cancer Center, New Haven, Connecticut, United States|Northwestern Memorial Hospital, Chicago, Illinois, United States|Beijing Cancer Hospital, Beijing, China|Peking University Third Hospital, Beijing, China|Sichuan University - West China Hospital, Chengdu, China|The First Affiliated Hospital of Zhejiang University, Hangzhou, China|Zhejiang Cancer Hospital, Hangzhou, China|Fudan University Shanghai Cancer Center, Shanghai, China|Ruijin Hospital Shanghai Jiaotong University School of Medicine, Shanghai, China|The First Affiliated Hospital of Soochow University, Suzhou, China|Wuhan Union Hospital, Wuhan, China|Henan Cancer Hospital, Zhengzhou, China|Inje University Busan Paik Hospital, Busan, Korea, Republic of|Pusan National University Hospital, Busan, Korea, Republic of|Keimyung University Dongsan Hospital, Daegu, Korea, Republic of|National Cancer Center, Goyang, Korea, Republic of|Chonbuk National University Hospital, Jeonju, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of	https://ClinicalTrials.gov/show/NCT04105010
86	Study of CD4-Targeted Chimeric Antigen Receptor T-Cells (CD4- CAR-T) in Subjects With Relapsed or Refractory T-Cell Lymphoma	Not yet recruiting	No Results Available	T-Cell Lymphoma|Peripheral T-Cell Lymphoma Refractory|Cutaneous T-Cell Lymphoma Refractory|Cutaneous T-Cell Lymphoma Recurrent|Peripheral T-Cell Lymphoma Recurrent	Biological: LB1901		https://ClinicalTrials.gov/show/NCT04712864
87	CD7 CAR-T Cells for Patients With R/R CD7+ NK/T Cell Lymphoma,T-lymphoblastic Lymphoma and Acute Lymphocytic Leukemia	Recruiting	No Results Available	T-lymphoblastic Lymphoma|NK/T Cell Lymphoma|Acute Lymphocytic Leukemia	Drug: CD7 CAR-T cells infusion	First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China	https://ClinicalTrials.gov/show/NCT04004637
88	Allogeneic Hematopoietic Cell Transplantation for Peripheral T Cell Lymphoma	Recruiting	No Results Available	Peripheral T-cell Lymphomas|Lymphoproliferative Disorders|Immune System Diseases	Drug: IOC|Drug: GVHD prophylaxis|Drug: RIC|Procedure: allo HCT|Drug: mRIC|Drug: ATL-RIC	National Institutes of Health Clinical Center, Bethesda, Maryland, United States|National Marrow Donor Program, Minneapolis, Minnesota, United States	https://ClinicalTrials.gov/show/NCT03922724
89	GPED Regimen for Relapsed/Refractory or Advanced ENKTCL	Recruiting	No Results Available	Extranodal NK/T-cell Lymphoma, Nasal Type	Drug: gemcitabin|Drug: Pegaspargase|Drug: Etoposide|Drug: Dexamethasone	Beijing Tongren Hospital, Beijing, China	https://ClinicalTrials.gov/show/NCT04405375
90	A Safety and Efficacy Study Evaluating CTX130 in Subjects With Relapsed or Refractory T or B Cell Malignancies (COBALT-LYM)	Recruiting	No Results Available	T Cell Lymphoma	Biological: CTX130	Research Site 2, Duarte, California, United States|Research Site 5, Stanford, California, United States|Research Site 4, Miami, Florida, United States|Research Site 8, Bronx, New York, United States|Research Site 9, New York, New York, United States|Research Site 1, Houston, Texas, United States|Research Site 6, Salt Lake City, Utah, United States|Research Site 3, Sydney, New South Wales, Australia|Research Site 7, Toronto, Ontario, Canada	https://ClinicalTrials.gov/show/NCT04502446
91	Tofacitinib Combined With Chidamide in R/R ENKTCL	Not yet recruiting	No Results Available	Extranodal NK/T-cell Lymphoma	Drug: tofacitinib|Drug: chidamide	West China Hospital of Sichuan University, Chengdu, Sichuan, China	https://ClinicalTrials.gov/show/NCT03598959
92	A Study of Retreatment With Brentuximab Vedotin in Subjects With Classic Hodgkin Lymphoma or CD30-expressing Peripheral T Cell Lymphoma	Recruiting	No Results Available	Hodgkin Lymphoma|Peripheral T Cell Lymphoma|Anaplastic Large Cell Lymphoma	Drug: brentuximab vedotin	Pacific Cancer Medical Center, Anaheim, California, United States|Memorial Cancer Institute, Pembroke Pines, Florida, United States|Northwest Oncology and Hematology/AMITA, Elk Grove Village, Illinois, United States|Cardinal Bernardin Cancer Center / Loyola University Medical Center, Maywood, Illinois, United States|Norton Cancer Institute, Louisville, Kentucky, United States|Tulane University Hospital and Clinic, New Orleans, Louisiana, United States|University of Maryland, Baltimore, Maryland, United States|Karmanos Cancer Institute / Wayne State University, Detroit, Michigan, United States|Saint Louis University, Saint Louis, Missouri, United States|Comprehensive Cancer Centers of Nevada, Las Vegas, Nevada, United States|Summit Medical Group, Florham Park, New Jersey, United States|Medical University of South Carolina/Hollings Cancer Center, Charleston, South Carolina, United States|Texas Oncology - Fort Worth, Dallas, Texas, United States|Texas Oncology - Fort Worth 12th Avenue, Fort Worth, Texas, United States|The Center for Cancer and Blood Disorders: Fortworth, Fort Worth, Texas, United States|MD Anderson Cancer Center / University of Texas, Houston, Texas, United States|Houston Methodist Cancer Center, Houston, Texas, United States|Texas Oncology - San Antonio Medical Center, San Antonio, Texas, United States	https://ClinicalTrials.gov/show/NCT03947255
93	Clinical Study of Mitoxantrone Hydrochloride Liposome Injection vs. Chidamide in Patients With Relapsed/Refractory PTCL	Not yet recruiting	No Results Available	Peripheral T Cell Lymphoma	Drug: Mitoxantrone Hydrochloride Liposome Injection|Drug: Chidamide	Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT04668690
94	Sintilimab (IBI308) in Combination With Chidamide and Azacitidine in Refractory or Relapsed PTCL	Not yet recruiting	No Results Available	Peripheral T-cell Lymphoma	Drug: Sintilimab|Drug: Chidamide|Drug: Azacidine	Beijing, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT04052659
95	Anti-PD-1 Antibody and Pegaspargase Combined With Radiotherapy in Early-Stage ENKTL	Not yet recruiting	No Results Available	Extranodal NK/T-cell Lymphoma, Nasal Type	Drug: Pegaspargase|Drug: Anti-PD-1 monoclonal antibody|Radiation: Definitive intensity-modulated radiotherapy (IMRT)	Sun Yat-sen University Cancer Center, Guangzhou, Please Select, China	https://ClinicalTrials.gov/show/NCT04676789
96	CHP-BV Followed by Consolidation With High-dose Therapy / ASCT as Frontline Treatment of Patients With EATL Type 1.	Recruiting	No Results Available	Enteropathy Associated T-cell Lymphoma	Drug: Brentuximab Vedotin	Hopital Necker - Enfants malades, Paris, France	https://ClinicalTrials.gov/show/NCT03217643
97	CD4-specific CAR T Cells (CD4 CAR T Cells) for Relapsed/Refractory T Cell Malignancies	Recruiting	No Results Available	T Cell Lymphoma in Relapse|Refractory T-Cell Lymphoma	Biological: CD4 CAR T cells	Peking University Shenzhen Hospital, Shenzhen, Guangdong, China|Chengdu Military General Hospital, Chengdu, Sichuan, China	https://ClinicalTrials.gov/show/NCT04162340
98	Combined Treatment of Sintilimab, Peg-aspargase Plus Anlotinib in NK/T Cell Lymphoma	Recruiting	No Results Available	Natural Killer/T-Cell Lymphoma, Nasal and Nasal-Type|Early Stage|Anlotinib|Peg-aspargase|Sintilimab|Phase Two|Open	Drug: Sintilimab	Sun Yat-Sen University Cancer Center, Guandong, Guangdong, China|Guangxi Medicanl Universitu Affiliated Tumor Hospital, Nanning, Guangxi, China|The First Affiliated Hospital of Guangxi Medical University, Nanning, Guangxi, China|Hunan Cancer Hospital, Changsha, Hunan, China|West China Hospital.Sichuan University, Chengdu, Sichuan, China|Yunan Cancer Hospital, Kunming, Yunnan, China	https://ClinicalTrials.gov/show/NCT03936452
99	A Study of ABT-199 (Venetoclax) for Cutaneous T Cell Lymphoma (CTCL)	Recruiting	No Results Available	CTCL	Drug: ABT-199 (venetoclax)	Yale New Haven Hospital / Smilow Cancer Center, New Haven, Connecticut, United States	https://ClinicalTrials.gov/show/NCT04171791
100	A Randomized, Phase IIB, Multicenter, Trial of Oral Azacytidine Plus Romidepsin Versus Investigator's Choice in Patients With Relapse or Refractory Peripheral T-cell Lymphoma (PTCL)	Recruiting	No Results Available	PTCL	Drug: Azacytidine|Drug: Romidepsin|Drug: Belinostat|Drug: Pralatrexate|Drug: Gemcitabine	University of Virginia, Charlottesville, Virginia, United States	https://ClinicalTrials.gov/show/NCT04747236
101	Third-Party Natural Killer Cells and Mogamulizumab for the Treatment of Relapsed or Refractory Cutaneous T-cell Lymphomas or Adult T-Cell Leukemia/Lymphoma	Not yet recruiting	No Results Available	Recurrent Adult T-Cell Leukemia/Lymphoma|Recurrent Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Refractory Adult T-Cell Leukemia/Lymphoma|Refractory Primary Cutaneous T-Cell Non-Hodgkin Lymphoma	Drug: Cyclophosphamide|Drug: Fludarabine|Biological: Mogamulizumab|Biological: Natural Killer Cell Therapy|Other: Quality-of-Life Assessment|Other: Questionnaire Administration	Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States	https://ClinicalTrials.gov/show/NCT04848064
102	Doxorubicin, CC-(486) (5-azacitidine), Romidepsin, and Duvelisib (hARD) for T-cell Lymphoma	Not yet recruiting	No Results Available	Adult T-cell Leukemia/Lymphoma|Extranodal NK-/T-cell Lymphoma, Nasal Type|Enteropathy-Associated T-Cell Lymphoma|Monomorphic Epiteliotrophic Intestinal T-cell Lymphoma|Hepatosplenic T-cell Lymphoma	Drug: CC-486 (5-azacitidine)|Drug: Duvelisib|Drug: Romidepsin|Drug: Doxorubicin	National Institutes of Health Clinical Center, Bethesda, Maryland, United States	https://ClinicalTrials.gov/show/NCT04639843
103	Testing the Addition of Duvelisib or CC-486 to the Usual Treatment for Peripheral T-Cell Lymphoma	Not yet recruiting	No Results Available	Angioimmunoblastic T-cell Lymphoma|Enteropathy-Associated T-Cell Lymphoma|Follicular T-Cell Lymphoma|Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma|Nodal Peripheral T-Cell Lymphoma With TFH Phenotype|Peripheral T-Cell Lymphoma, Not Otherwise Specified	Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone|Drug: Etoposide|Drug: Duvelisib|Drug: Oral azacitidine		https://ClinicalTrials.gov/show/NCT04803201
104	Radiotherapy Combined With GDP With or Without Chidamide in Stage I/II Extranodal Nasal NK/T-cell Lymphoma	Recruiting	No Results Available	Lymphoma	Drug: Chidamide	National Cancer Center, Cancer Hospital, Chinese Academy of Medical Scienses, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT04511351
105	Phase II Study of Durvalumab in Combination With Lenalidomide in Relapsed/Refractory NK-T-cell Lymphoma	Not yet recruiting	No Results Available	LYMPHOMA	Drug: Durvalumab|Drug: Lenali	National University Hospital Singapore, Singapore, Singapore|Singapore General Hospital, Singapore, Singapore|National Cancer Centre Singapore, Singapore, Singapore|Raffles Hospital Singapore, Singapore, Singapore	https://ClinicalTrials.gov/show/NCT03054532
106	Liposomal Mitoxantrone Hydrochloride Injection,Cyclophosphamide, Vincristine and Prednisone in the Treatment of PTCL	Not yet recruiting	No Results Available	Treatment-naïve|Peripheral T Cell Lymphoma	Drug: Dose-finding stage: Liposomal mitoxantrone hydrochloride, Cyclophosphamide, Vincristine and Prednisone|Drug: Dose-expansion stage: Liposomal mitoxantrone hydrochloride, Cyclophosphamide, Vincristine and Prednisone	Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT04548700
107	Pembrolizumab and Pralatrexate in Treating Patients With Relapsed or Refractory Peripheral T-Cell Lymphomas	Recruiting	No Results Available	Anaplastic Large Cell Lymphoma|Nodal Peripheral T-Cell Lymphoma With TFH Phenotype|Recurrent Anaplastic Large Cell Lymphoma|Recurrent Angioimmunoblastic T-Cell Lymphoma|Recurrent Enteropathy-Associated T-Cell Lymphoma|Recurrent Follicular Lymphoma|Recurrent Hepatosplenic T-Cell Lymphoma|Recurrent Mature T- Cell and NK-Cell Non-Hodgkin Lymphoma|Recurrent Monomorphic Epitheliotropic Intestinal T-cell Lymphoma|Recurrent Mycosis Fungoides|Recurrent Peripheral T-Cell Lymphoma, Not Otherwise Specified|Refractory Anaplastic Large Cell Lymphoma|Refractory Angioimmunoblastic T-Cell Lymphoma|Refractory Enteropathy-Associated T-Cell Lymphoma|Refractory Follicular Lymphoma|Refractory Hepatosplenic T-Cell Lymphoma|Refractory Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Refractory Mycosis Fungoides|Refractory Peripheral T-Cell Lymphoma, Not Otherwise Specified|Subcutaneous Panniculitis-Like T-Cell Lymphoma	Biological: Pembrolizumab|Drug: Pralatrexate	City of Hope Medical Center, Duarte, California, United States|Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States	https://ClinicalTrials.gov/show/NCT03598998
108	A Phase II Study of Single Agent Brentuximab Vedotin in Relapsed/Refractory CD30 Low (<10%) Mature T Cell Lymphoma (TCL)	Recruiting	No Results Available	T-cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Hepato-splenic T-cell Lymphoma|Adult T-cell Leukemia/Lymphoma|Enteropathy Associated T-cell Lymphoma|NK T-cell Lymphoma	Drug: Brentuximab vedotin	University of Michigan, Ann Arbor, Michigan, United States|Wayne State University, Karmanos Cancer Institute, Detroit, Michigan, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|University Hospitals Cleveland Medical Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States|Cleveland Clinic Taussig Cancer institute, Case Comprehensive Cancer Center, Cleveland, Ohio, United States	https://ClinicalTrials.gov/show/NCT02588651
109	Chidamide Combined With CHOPE Regimen for Peripheral T-cell Lymphoma Patients	Recruiting	No Results Available	Experimental Tumor	Drug: Chidamide|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Etoposide|Drug: Prednisone	Beijing Cancer Hospital, Beijing, China	https://ClinicalTrials.gov/show/NCT03617432
110	Romidepsin and Parsaclisib for the Treatment of Relapsed or Refractory T-Cell Lymphomas	Not yet recruiting	No Results Available	Recurrent Anaplastic Large Cell Lymphoma|Recurrent Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Recurrent Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent Transformed Mycosis Fungoides|Refractory Anaplastic Large Cell Lymphoma|Refractory Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Refractory Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Refractory Transformed Mycosis Fungoides|T-Cell Non-Hodgkin Lymphoma	Drug: Parsaclisib|Drug: Romidepsin	Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States	https://ClinicalTrials.gov/show/NCT04774068
111	Phase 1 Trial of ST-001 nanoFenretinide in Relapsed/Refractory T-cell Non-Hodgkin Lymphoma	Not yet recruiting	No Results Available	T-cell Lymphoma|Cutaneous/Peripheral T-Cell Lymphoma|Peripheral T-cell Lymphoma|Peripheral T-Cell Lymphoma, Not Classified|Primary Cutaneous T-cell Lymphoma|Cutaneous T-Cell Lymphoma, Unspecified|Cutaneous T-cell Lymphoma|Follicular T-Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Sézary's Disease|Mycosis Fungoides	Drug: Fenretinide	Rush University Medical Center, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT04234048
112	Pembrolizumab and Radiotherapy for Patients With NK/T Cell Lymphoma	Not yet recruiting	No Results Available	Lymphoma, Extranodal NK-T-Cell	Drug: Pembrolizumab|Radiation: Involved Field Radiation Therapy	Shanghai Rui-Jin Hospital, Shanghai, China	https://ClinicalTrials.gov/show/NCT04417166
113	Brentuximab Vedotin and Pembrolizumab in Treating Patients With Recurrent Peripheral T-Cell Lymphoma	Not yet recruiting	No Results Available	Recurrent Angioimmunoblastic T-Cell Lymphoma|Recurrent Enteropathy-Associated T-Cell Lymphoma|Recurrent Follicular T-Cell Lymphoma|Recurrent Hepatosplenic T-Cell Lymphoma|Recurrent Nodal Peripheral T-Cell Lymphoma With TFH Phenotype|Recurrent Peripheral T-Cell Lymphoma, Not Otherwise Specified|Recurrent Subcutaneous Panniculitis-Like T-Cell Lymphoma|Refractory Angioimmunoblastic T-Cell Lymphoma|Refractory Enteropathy-Associated T-Cell Lymphoma|Refractory Follicular T-Cell Lymphoma|Refractory Hepatosplenic T-Cell Lymphoma|Refractory Nodal Peripheral T-Cell Lymphoma With TFH Phenotype|Refractory Peripheral T-Cell Lymphoma, Not Otherwise Specified|Refractory Subcutaneous Panniculitis-Like T-Cell Lymphoma	Drug: Brentuximab Vedotin|Biological: Pembrolizumab	Northwestern University, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT04795869
114	PEG-ASP+Gemox Regimen and Thalidomide for NK/T Lymphoma	Recruiting	No Results Available	Extranodal NK-T-Cell Lymphoma, Nasal and Nasal-Type	Drug: pegaspargase|Drug: Gemcitabine|Drug: Oxaliplatin|Drug: Methotrexate|Drug: Dexamethasone|Drug: Thalidomide	Department of Medical Oncology, Sun Yat-sen University Cancer Center,, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT02085655
115	Brentuximab Vedotin and Lenalidomide in Treating Patients With Stage IB-IVB Relapsed or Refractory T-Cell Lymphoma	Recruiting	No Results Available	Lymphomatoid Papulosis|Primary Cutaneous Anaplastic Large Cell Lymphoma|Recurrent Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent T-Cell Non-Hodgkin Lymphoma|Refractory Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage II Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage III Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage IV Cutaneous T-Cell Non-Hodgkin Lymphoma	Drug: Brentuximab Vedotin|Other: Laboratory Biomarker Analysis|Drug: Lenalidomide	Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States	https://ClinicalTrials.gov/show/NCT03409432
116	Brentuximab Vedotin and Combination Chemotherapy in Treating Patients With CD30-Positive Peripheral T-cell Lymphoma	Recruiting	No Results Available	Adult T-Cell Leukemia/Lymphoma|Anaplastic Large Cell Lymphoma, ALK-Negative|Anaplastic Large Cell Lymphoma, ALK-Positive|Angioimmunoblastic T-Cell Lymphoma|Ann Arbor Stage II Noncutaneous Anaplastic Large Cell Lymphoma|Ann Arbor Stage III Noncutaneous Anaplastic Large Cell Lymphoma|Ann Arbor Stage IV Noncutaneous Anaplastic Large Cell Lymphoma|Enteropathy-Associated T-Cell Lymphoma|Hepatosplenic T-Cell Lymphoma|Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Peripheral T-Cell Lymphoma, Not Otherwise Specified	Drug: Brentuximab Vedotin|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Doxorubicin Hydrochloride|Drug: Etoposide|Drug: Etoposide Phosphate|Other: Laboratory Biomarker Analysis|Drug: Prednisone	City of Hope Comprehensive Cancer Center, Duarte, California, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States|M D Anderson Cancer Center, Houston, Texas, United States|BCCA-Vancouver Cancer Centre, Vancouver, British Columbia, Canada	https://ClinicalTrials.gov/show/NCT03113500
117	Rituximab Combined With Chidamide and Lenalidomide for r/r AITL	Recruiting	No Results Available	Angioimmunoblastic T-cell Lymphoma|Chemotherapy Effect|Chemotherapeutic Toxicity	Drug: Rituximab	Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04319601
118	Durvalumab With or Without Lenalidomide in Treating Patients With Relapsed or Refractory Cutaneous or Peripheral T Cell Lymphoma	Recruiting	No Results Available	Folliculotropic Mycosis Fungoides|Recurrent Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent Mycosis Fungoides|Refractory Cutaneous T-Cell Non-Hodgkin Lymphoma|Refractory Mycosis Fungoides|Refractory Peripheral T-Cell Lymphoma, Not Otherwise Specified|Sezary Syndrome|Recurrent Mature T- and NK-Cell Non-Hodgkin Lymphoma	Biological: Durvalumab|Other: Laboratory Biomarker Analysis|Drug: Lenalidomide	City of Hope Medical Center, Duarte, California, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States|M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03011814
119	Naloxone Hydrochloride Study for Relief of Pruritus in Patients With MF or SS Forms of CTCL	Recruiting	No Results Available	Mycosis Fungoides|Lymphoma, T-Cell, Cutaneous|Sézary Syndrome	Drug: Naloxone Hydrochloride Lotion, 0.5%|Drug: Placebo Lotion	University of Alabama Medical Center, Birmingham, Alabama, United States|Mayo Clinic, Scottsdale, Arizona, United States|University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States|City of Hope, Duarte, California, United States|Stanford University, Palo Alto, California, United States|University of Colorado Cancer Center, Aurora, Colorado, United States|USSF Health Morsani Center for Advanced Healthcare, Tampa, Florida, United States|Cleveland Clinic Indian River Hospital, Vero Beach, Florida, United States|Robert H. Lurie Comprehensive Cancer Center, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|The University of Chicago Medicine, Chicago, Illinois, United States|Dawes Fretzin Clinical Research Group, LLC, Indianapolis, Indiana, United States|Tulane University Health Sciences Center, New Orleans, Louisiana, United States|Massachusetts General Hospital CURTIS, Boston, Massachusetts, United States|Boston Medical Center, Boston, Massachusetts, United States|University of Minnesota, Minneapolis, Minnesota, United States|St. Louis University Dermatology, Saint Louis, Missouri, United States|Washington University School of Medicine St. Louis, Saint Louis, Missouri, United States|Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States|Columbia University Medical Center, New York, New York, United States|Stony Brook Dermatology, Stony Brook, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Ohio State University, James and Solove Research and Cancer Hospital, Columbus, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Jefferson Dermatology Associates, Philadelphia, Pennsylvania, United States|UPMC Department of Dermatology, Pittsburgh, Pennsylvania, United States|Vanderbilt Dermatology, Nashville, Tennessee, United States|University of Texas South Western Medical Center, Dallas, Texas, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States|Inova Schar Cancer Institute, Fairfax, Virginia, United States|University of Washington / Seattle Cancer Care Alliance (SCCA), Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT02811783
120	Study of Photopheresis in the Treatment of Erythrodermic MF and SS	Not yet recruiting	No Results Available	Lymphoma, T-Cell, Cutaneous|Mycosis Fungoides/Sezary Syndrome	Drug: Methoxsalen|Device: THERAKOS CELLEX Photopheresis System	UniversitaetsSpital Zurich - Division of Dermatology, Zürich, Switzerland	https://ClinicalTrials.gov/show/NCT03563040
121	Study of Isatuximab and Cemiplimab in Relapsed or Refractory Natural Killer/T-cell Lymphoid Malignancy	Not yet recruiting	No Results Available	Natural Killer/T-cell Lymphoma|Relapsed Natural Killer/T-cell Lymphoma|Refractory Natural Killer/T-cell Lymphoma	Drug: Isatuximab|Drug: Cemiplimab		https://ClinicalTrials.gov/show/NCT04763616
122	Pembrolizumab Administered Via the Sofusa® DoseConnect™ in Patients With Relapsed/Refractory Cutaneous T-cell Lymphoma.	Not yet recruiting	No Results Available	Mycosis Fungoides	Combination Product: Pembrolizumab administered using the Sofusa® DoseConnect™		https://ClinicalTrials.gov/show/NCT04118868
123	Anti-CD5 CAR T Cells for Relapsed/Refractory T Cell Malignancies	Recruiting	No Results Available	T-cell Acute Lymphoblastic Leukemia|T-cell Non-Hodgkin Lymphoma	Drug: anti-CD5 CAR T cells	Peking University Shenzhen Hospital, Shenzhen, Guangdong, China	https://ClinicalTrials.gov/show/NCT04594135
124	Clinical Study of Liposomal Mitoxantrone Hydrochloride Injection Combined With Pegaspargase in the Treatment of NKTCL	Not yet recruiting	No Results Available	Extranodal NK/T-cell Lymphoma, Nasal Type	Drug: Part 1: Liposomal mitoxantrone hydrochloride and Pegaspargase|Drug: Part 2 (treatment-naïve patients): Liposomal mitoxantrone hydrochloride and Pegaspargase|Drug: Part 2 (relapsed or refractory patients): Liposomal mitoxantrone hydrochloride and Pegaspargase		https://ClinicalTrials.gov/show/NCT04509466
125	Gemcitabine Hydrochloride, Clofarabine, and Busulfan Before Donor Stem Cell Transplant in Treating Patients With Refractory B-Cell or T-Cell Non-Hodgkin Lymphoma or Hodgkin Lymphoma	Recruiting	No Results Available	Hematopoietic Cell Transplantation Recipient|Refractory B-Cell Non-Hodgkin Lymphoma|Refractory Hodgkin Lymphoma|Refractory T-Cell Non-Hodgkin Lymphoma	Procedure: Allogeneic Bone Marrow Transplantation|Procedure: Allogeneic Hematopoietic Stem Cell Transplantation|Biological: Anti-Thymocyte Globulin|Drug: Busulfan|Drug: Clofarabine|Drug: Gemcitabine Hydrochloride|Drug: Mycophenolate Mofetil|Procedure: Peripheral Blood Stem Cell Transplantation|Other: Pharmacological Study|Biological: Rituximab|Drug: Tacrolimus	M D Anderson Cancer Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT01701986
